create_time,destination_id,exit_code,handler,history_id,id,imported,info,input_interval_repeat_0|input_intervals,input_interval_repeat_0|input_intervals_filetype,input_mask_rod,input_mask_rod_filetype,input_variant,input_variant_filetype,job_runner_external_id,job_runner_name,library_folder_id,object_store_id,param_filename,parameters.chromInfo,parameters.cluster_snp_type.__current_case__,parameters.cluster_snp_type.cluster_size,parameters.cluster_snp_type.cluster_snp_type_selector,parameters.cluster_snp_type.cluster_window_size,parameters.dbkey,parameters.gatk_param_type.__current_case__,parameters.gatk_param_type.baq,parameters.gatk_param_type.baq_gap_open_penalty,parameters.gatk_param_type.default_base_qualities,parameters.gatk_param_type.disable_experimental_low_memory_sharding,parameters.gatk_param_type.downsampling_type.__current_case__,parameters.gatk_param_type.downsampling_type.downsampling_type_selector,parameters.gatk_param_type.gatk_param_type_selector,parameters.gatk_param_type.input_exclude_interval_repeat,parameters.gatk_param_type.input_interval_repeat,parameters.gatk_param_type.interval_merging,parameters.gatk_param_type.interval_set_rule,parameters.gatk_param_type.non_deterministic_random_seed,parameters.gatk_param_type.pedigree,parameters.gatk_param_type.pedigree_string_repeat,parameters.gatk_param_type.pedigree_validation_type,parameters.gatk_param_type.read_filter,parameters.gatk_param_type.read_group_black_list_repeat,parameters.gatk_param_type.use_original_qualities,parameters.gatk_param_type.validation_strictness,parameters.mask_rod_bind_type.__current_case__,parameters.mask_rod_bind_type.input_mask_rod,parameters.mask_rod_bind_type.input_mask_rod.values,parameters.mask_rod_bind_type.mask_extension,parameters.mask_rod_bind_type.mask_rod_bind_type_selector,parameters.mask_rod_bind_type.mask_rod_name,parameters.missing_values_in_expressions_should_evaluate_as_failing,parameters.reference_source.__current_case__,parameters.reference_source.input_variant,parameters.reference_source.input_variant.values,parameters.reference_source.ref_file,parameters.reference_source.ref_file.values,parameters.reference_source.reference_source_selector,parameters.variant_filters,ref_file,ref_file_filetype,runner_name,session_id,state,tool_id,tool_version,traceback,update_time,user_id,runtime
2015-03-28 23:52:59.654691,rodeo_normal,,main_w1_handler0,2252572,9075179,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,310734651.0,vcf,310734651,vcf,3361587.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",0,,do_not_cluster_snp,,"""?""",0,,,,,,,basic,,,,,,,,,,,,,1,19046968.0,,0,set_mask,Mask,"""False""",1,19046968.0,,19045697,,history,"[{""__index__"": 0, ""filter_expression"": ""QA>1000"", ""is_genotype_filter"": ""False"", ""filter_name"": ""custom_filter""}]",72911062.0,fasta,,22090955,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_filtration/gatk_variant_filtration/0.0.5,0.0.5,,2015-03-28 23:54:15.093349,61618,75.438658
2015-02-22 19:18:36.129447,rodeo_normal,,main_w2_handler0,2215113,8787773,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,491303064,vcf,2870613.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/010/478/dataset_10478432.dat""",0,,do_not_cluster_snp,,"""my_ecoli_K12""",1,OFF,40.0,-1,False,0.0,NONE,advanced,[],[],ALL,UNION,False,[],[],STRICT,[],[],False,STRICT,0,,,,exclude_mask,,"""False""",1,18604424.0,,18604026,,history,[],4708053.0,fasta,,21386046,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_filtration/gatk_variant_filtration/0.0.5,0.0.5,,2015-02-22 19:23:43.745790,15530,307.61634300000003
2016-04-11 17:32:32.542348,slurm_normal,,main_w2_handler0,2664616,12420159,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,7572857398.0,vcf,168089,vcf,6621317.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""",0,,do_not_cluster_snp,,"""hg19""",0,,,,,,,basic,,,,,,,,,,,,,1,24246390.0,,0,set_mask,Mask,"""False""",1,24246531.0,,24246388,,history,"[{""__index__"": 0, ""filter_expression"": ""MQ0 > 50"", ""is_genotype_filter"": ""False"", ""filter_name"": ""custom_filter""}]",3199905909.0,fasta,,29451049,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_filtration/gatk_variant_filtration/0.0.5,0.0.5,,2016-04-11 17:38:27.708754,80553,355.166406
2016-10-10 10:23:26.547922,slurm_normal,,main_w4_handler0,2724092,14043845,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,913142268.0,vcf,913142268,vcf,8261188.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""",0,,do_not_cluster_snp,,"""hg_g1k_v37""",0,,,,,,,basic,,,,,,,,,,,,,1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b508a12c056513762d'}]",0,set_mask,Mask,"""false""",0,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b508a12c056513762d'}]",hg_g1k_v37,,cached,[],,,,33493559,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_filtration/gatk_variant_filtration/0.0.5,0.0.5,,2016-10-10 10:27:36.209951,85338,249.66202900000002
2015-06-05 16:01:01.270830,slurm_normal,,main_w1_handler0,2329767,9604925,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,5469265540.0,vcf,13787,vcf,3916426.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""",0,,do_not_cluster_snp,,"""hg_g1k_v37""",0,,,,,,,basic,,,,,,,,,,,,,1,19904712.0,,0,set_mask,GMAF,"""False""",0,19924584.0,,hg_g1k_v37,,cached,[],,,,23274988,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_filtration/gatk_variant_filtration/0.0.5,0.0.5,,2015-06-05 16:03:08.829026,48729,127.55819600000001
2016-09-23 14:31:05.583000,slurm_normal,,main_w4_handler1,2712729,13925893,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,,,87990093,vcf,8148262.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",0,,do_not_cluster_snp,,"""?""",0,,,,,,,basic,,,,,,,,,,,,,0,,,,exclude_mask,,"""false""",1,,"[{'src': 'hda', 'id': 'bbd44e69cb8906b52fc2c953a76730e8'}]",,"[{'src': 'hda', 'id': 'bbd44e69cb8906b5c6fbd6e7a9972b8a'}]",history,"[{""__index__"": 0, ""filter_expression"": ""QD < 10"", ""is_genotype_filter"": ""false"", ""filter_name"": ""filterqd""}, {""__index__"": 1, ""filter_expression"": ""MQ < 60"", ""is_genotype_filter"": ""false"", ""filter_name"": ""filtermq""}]",121182577.0,fasta,,32987327,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_filtration/gatk_variant_filtration/0.0.5,0.0.5,,2016-09-23 14:36:05.928535,60924,300.34553500000004
2015-03-13 06:55:18.815410,rodeo_normal,,main_w1_handler0,2230007,8940195,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",49364721.0,bed,,,10162570,vcf,3153643.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/010/523/dataset_10523596.dat""",1,3,cluster_snp,10,"""hg19""",1,OFF,40.0,-1,False,0.0,NONE,advanced,[],"[{'input_intervals': 18846293, '__index__': 0}]",ALL,UNION,False,[],[],STRICT,[],[],False,STRICT,0,,,,exclude_mask,,"""False""",1,18846288.0,,18765678,,history,"[{""__index__"": 0, ""filter_expression"": ""AB > 0.7 || QUAL < 30 || QD < 5 || DP < 10 || FS > 60 || HaplotypeScore > 13 || MQRankSum < -12.5 || ReadPosRankSum < -8"", ""is_genotype_filter"": ""False"", ""filter_name"": ""custom_filter_AB > 0.7 || QUAL < 30 || QD < 5 || DP < 10 || FS > 60 || HaplotypeScore > 13 || MQRankSum < -12.5 || ReadPosRankSum < -8""}]",3199905909.0,fasta,,21607965,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_filtration/gatk_variant_filtration/0.0.5,0.0.5,,2015-03-13 06:56:58.303880,58799,99.48847
2015-03-13 06:42:30.117699,rodeo_normal,,main_w2_handler1,2230007,8940173,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",49364721.0,bed,,,6167659,vcf,3153586.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/010/523/dataset_10523596.dat""",1,3,cluster_snp,10,"""hg19""",1,OFF,40.0,-1,False,0.0,NONE,advanced,[],"[{'input_intervals': 18846293, '__index__': 0}]",ALL,UNION,False,[],[],STRICT,[],[],False,STRICT,0,,,,exclude_mask,,"""False""",1,18765688.0,,18765678,,history,"[{""__index__"": 0, ""filter_expression"": ""AB > 0.7 || QUAL < 30 || QD < 5 || DP < 10 || FS > 60 || HaplotypeScore > 13 || MQRankSum < -12.5 || ReadPosRankSum < -8"", ""is_genotype_filter"": ""False"", ""filter_name"": ""custom_filter_AB > 0.7 || QUAL < 30 || QD < 5 || DP < 10 || FS > 60 || HaplotypeScore > 13 || MQRankSum < -12.5 || ReadPosRankSum < -8""}]",3199905909.0,fasta,,21607965,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_filtration/gatk_variant_filtration/0.0.5,0.0.5,,2015-03-13 06:46:25.639185,58799,235.521486
2015-03-29 10:33:42.861048,rodeo_normal,,main_w1_handler0,2252572,9076458,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,72703490.0,vcf,310734651,vcf,3362873.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/?.len""",0,,do_not_cluster_snp,,"""?""",0,,,,,,,basic,,,,,,,,,,,,,1,19047592.0,,0,set_mask,Mask,"""False""",1,19046968.0,,19045697,,history,"[{""__index__"": 0, ""filter_expression"": ""QA>200"", ""is_genotype_filter"": ""False"", ""filter_name"": ""custom_filter""}]",72911062.0,fasta,,22090955,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_filtration/gatk_variant_filtration/0.0.5,0.0.5,,2015-03-29 10:35:25.875887,61618,103.01483900000001
2015-06-16 12:29:38.446398,slurm_normal,,main_w1_handler1,2329767,9663255,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,5469265540.0,vcf,13787,vcf,3972767.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg_g1k_v37.len""",0,,do_not_cluster_snp,,"""hg_g1k_v37""",0,,,,,,,basic,,,,,,,,,,,,,1,19904712.0,,0,set_mask,GMAF,"""False""",0,19924584.0,,hg_g1k_v37,,cached,[],,,,23274988,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_filtration/gatk_variant_filtration/0.0.5,0.0.5,,2015-06-16 12:32:28.928655,48729,170.482257
2015-03-13 06:47:57.088573,rodeo_normal,,main_w2_handler1,2230007,8940180,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",49364721.0,bed,,,10993224,vcf,3153609.roundup,slurm,,corral-repl,,"""/galaxy-repl/main/files/010/523/dataset_10523596.dat""",1,3,cluster_snp,10,"""hg19""",1,OFF,40.0,-1,False,0.0,NONE,advanced,[],"[{'input_intervals': 18846293, '__index__': 0}]",ALL,UNION,False,[],[],STRICT,[],[],False,STRICT,0,,,,exclude_mask,,"""False""",1,18846286.0,,18765678,,history,"[{""__index__"": 0, ""filter_expression"": ""AB > 0.7 || QUAL < 30 || QD < 5 || DP < 10 || FS > 60 || HaplotypeScore > 13 || MQRankSum < -12.5 || ReadPosRankSum < -8"", ""is_genotype_filter"": ""False"", ""filter_name"": ""custom_filter_AB > 0.7 || QUAL < 30 || QD < 5 || DP < 10 || FS > 60 || HaplotypeScore > 13 || MQRankSum < -12.5 || ReadPosRankSum < -8""}]",3199905909.0,fasta,,21607965,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_filtration/gatk_variant_filtration/0.0.5,0.0.5,,2015-03-13 06:50:23.681461,58799,146.59288800000002
2015-01-24 20:15:59.315445,rodeo_normal,,main_w1_handler0,1104862,8600295,False,"This job was terminated because it used more memory than it was allocated.
Please click the bug icon to report this problem if you need help.",,,2320613907.0,vcf,715175,vcf,2555680.roundup,slurm,,corral-repl,,"""/galaxy-repl/localdata/chrom/hg19.len""",0,,do_not_cluster_snp,,"""hg19""",0,,,,,,,basic,,,,,,,,,,,,,1,18288250.0,,0,set_mask,Mask,"""False""",1,18287538.0,,18252376,,history,"[{""__index__"": 0, ""filter_expression"": ""\""DP > 25\"""", ""is_genotype_filter"": ""True"", ""filter_name"": ""custom_filter""}]",3199905909.0,fasta,,20419807,error,toolshed.g2.bx.psu.edu/repos/devteam/variant_filtration/gatk_variant_filtration/0.0.5,0.0.5,,2015-01-24 20:18:59.421777,25699,180.106332
